,id_hh,id_hs,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,cat_hus_blt_yr,num_hus_ar,num_bed,num_liv,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_age,cat_mhh_occu,cat_hh_ann_incm,num_tot_energy_heat
897,HH12240015,HS2405000026,3,1,3,14,4,1,4,138.6,4,1,2,12,1,3,4,4,2,3,6,12044.37217
898,HH12240016,HS2405000027,3,1,3,3,4,1,4,138.6,4,1,2,8,1,3,4,4,2,1,5,5806.7253078
899,HH12240017,HS2405000028,3,1,3,4,4,1,4,138.6,4,1,2,14,1,3,4,4,2,1,5,7092.9456035
900,HH12240018,HS2405000029,3,1,3,8,4,1,4,138.6,4,1,2,12,1,3,4,4,2,1,6,5710.0995108
901,HH12240019,HS2405000030,3,1,3,9,4,1,4,138.6,4,1,2,8,1,3,4,4,3,1,6,4877.8940218
902,HH17240047,HS2405000032,3,1,1,1,6,1,6,92.4,2,1,2,5,1,3,4,2,2,3,3,12757.878398
903,HH17240048,HS2405000033,3,1,3,1,5,4,5,125.4,3,1,2,7,3,3,4,4,2,1,7,8363.3164794
904,HH17240052,HS2405000037,3,1,3,16,4,1,5,105.6,3,1,2,14,1,1,4,4,2,3,5,14481.880782
905,HH17240053,HS2405000038,3,1,1,1,5,1,5,198.0,3,1,1,7,2,3,3,2,2,1,2,8644.38
906,HH17240054,HS2405000039,3,1,1,1,4,1,4,39.6,1,0,1,4,2,1,3,1,3,5,1,5512.0
907,HH17240055,HS2405000040,3,1,1,1,6,1,1,56.1,3,1,0,5,5,1,3,1,3,5,1,21387.34
908,HH12240030,HS2405000041,3,1,3,7,6,4,4,79.2,3,1,1,7,1,3,4,2,2,5,3,4987.0906571
909,HH17240056,HS2405000042,3,1,3,7,6,1,4,79.2,3,1,1,5,1,3,4,3,2,1,7,3632.2102707
910,HH17240057,HS2405000043,3,1,3,10,2,3,4,112.2,3,1,2,3,1,3,4,4,2,1,5,15832.13
911,HH13240005,HS2405000044,3,1,1,1,5,1,4,59.4,3,1,1,8,1,3,4,4,2,1,7,12834.54823
912,HH17240058,HS2405000045,3,1,1,2,5,1,4,72.6,3,1,1,2,1,3,4,3,2,5,4,6044.0416736
913,HH18240002,HS2405000046,3,1,3,1,4,1,6,69.3,2,1,1,4,1,1,5,3,2,4,2,13728.33659
914,HH18240020,HS2405000047,3,1,3,8,6,1,6,66.0,2,1,1,4,1,3,4,3,2,2,3,8699.3050102
915,HH18240034,HS2405000048,3,1,3,7,4,1,6,66.0,2,1,1,4,1,3,4,2,2,1,2,10246.331449
916,HH18240057,HS2405000049,3,1,1,1,5,2,3,105.6,3,1,1,12,2,3,3,2,3,5,2,11449.7
917,HH18240053,HS2410000004,3,1,3,12,3,1,4,168.3,4,1,2,17,1,3,4,5,2,3,6,10124.215877
918,HH15250012,HS2501000005,2,1,3,9,4,2,5,112.2,3,1,2,12,1,3,4,5,2,1,5,10570.782051
919,HH13250005,HS2501000006,2,1,3,19,4,2,5,112.2,3,1,2,14,1,3,4,3,2,1,6,10952.622051
