,id_hs,id_hh,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,cat_hus_blt_yr,num_hus_ar,num_bed,num_liv,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_occu,num_tot_energy_heat,num_mhh_age,num_hh_ann_incm
882,HS2404000016,HH15240018,3,1,1,2,4,1,3,66.0,3,1,1,15,1,1,4,4,3,26675.25,55,54000000
883,HS2404000017,HH11240018,3,1,3,11,4,1,4,79.19999999999999,3,1,1,9,1,1,4,4,2,5181.056523,55,18000000
884,HS2404000018,HH11240019,3,1,3,11,4,1,4,79.19999999999999,3,1,1,9,1,1,4,1,5,12505.83,67,12000000
885,HS2404000019,HH12240030,3,1,3,12,4,1,4,79.19999999999999,3,1,1,7,1,3,4,2,1,12816.72,45,66000000
886,HS2404000020,HH12240031,3,1,3,12,4,1,4,79.19999999999999,3,1,1,9,1,3,4,4,1,18357.83,55,42000000
887,HS2404000021,HH15240019,3,1,3,16,4,1,4,105.6,3,1,2,8,1,3,4,4,1,12203.88,55,54000000
888,HS2404000022,HH14240005,3,1,3,16,4,1,5,79.19999999999999,3,1,1,12,1,3,4,4,3,10749.350427,55,42000000
889,HS2404000023,HH15240020,3,1,3,8,4,1,5,79.19999999999999,3,1,1,10,1,3,4,2,1,24927.75,55,25000000
890,HS2405000001,HH11240001,3,1,1,1,5,3,1,33.0,1,1,1,8,2,3,3,2,1,11124.41,45,42000000
891,HS2405000002,HH14240001,3,1,1,1,6,1,3,128.7,3,1,1,10,5,1,3,1,5,13309.4,67,12000000
892,HS2405000003,HH12240001,3,1,3,10,4,2,4,75.89999999999999,3,1,1,9,1,3,4,2,1,13725.03,55,25000000
893,HS2405000004,HH12240002,3,1,3,11,4,2,4,75.89999999999999,3,1,1,9,1,1,4,4,1,10149.3,45,25000000
894,HS2405000005,HH13240001,3,1,3,2,4,2,4,75.89999999999999,3,1,1,10,1,1,4,2,5,5099.593188,67,18000000
895,HS2405000006,HH12240003,3,1,3,3,4,2,4,75.89999999999999,3,1,1,6,1,3,4,2,1,17610.37,55,42000000
896,HS2405000007,HH13240002,3,1,3,3,4,2,4,75.89999999999999,3,1,1,10,1,1,4,4,3,23925.83,45,42000000
897,HS2405000008,HH12240004,3,1,3,4,4,2,4,75.89999999999999,3,1,1,9,1,3,4,2,1,7263.53,45,54000000
898,HS2405000009,HH12240005,3,1,3,9,4,2,4,75.89999999999999,3,1,1,9,1,3,4,2,1,25146.03,55,42000000
899,HS2405000010,HH11240002,3,1,1,1,5,2,5,95.69999999999999,3,1,2,10,2,3,3,4,1,9107.09,45,42000000
900,HS2405000011,HH13240003,3,1,1,1,6,2,4,59.4,2,1,1,6,1,3,3,4,1,4155.6,45,42000000
901,HS2405000012,HH12240006,3,1,1,1,5,2,1,49.5,2,1,1,3,2,1,3,4,1,7835.27,55,25000000
903,HS2405000014,HH11240003,3,1,1,1,6,1,2,99.0,3,1,1,5,2,3,3,2,2,16412.34,45,18000000
904,HS2405000015,HH12240007,3,1,1,1,5,3,3,122.1,4,1,1,5,1,1,4,4,1,9731.87,45,42000000
905,HS2405000016,HH12240008,3,1,1,1,5,4,3,95.69999999999999,3,1,1,8,1,1,4,2,2,9724.77,67,18000000
906,HS2405000017,HH12240009,3,1,1,1,5,3,3,85.8,4,1,1,10,1,3,4,4,3,28432.21,45,42000000
907,HS2405000018,HH12240010,3,1,3,15,4,2,4,66.0,2,1,1,8,1,1,4,2,1,23192.78,35,25000000
908,HS2405000019,HH12240011,3,1,3,18,4,2,4,89.1,3,1,1,8,1,1,4,2,1,16655.55,35,42000000
909,HS2405000020,HH12240012,3,1,3,4,4,2,4,89.1,3,1,1,7,1,3,4,4,1,23866.89,55,66000000
910,HS2405000021,HH12240013,3,1,3,5,4,2,4,89.1,3,1,1,8,1,3,4,3,1,4333.560593,45,25000000
911,HS2405000022,HH15240001,3,1,3,7,4,4,4,79.19999999999999,3,1,1,8,1,1,4,2,1,14743.4,55,42000000
912,HS2405000023,HH12240014,3,1,3,13,4,4,5,56.099999999999994,1,1,1,5,1,1,4,2,3,21711.82,55,18000000
913,HS2405000024,HH15240002,3,1,1,2,5,1,4,82.5,3,1,1,7,1,3,4,4,1,8300.33,55,54000000
914,HS2405000025,HH16240002,3,1,1,2,5,1,4,66.0,3,1,1,2,1,3,4,2,1,26736.52,55,54000000
915,HS2405000026,HH12240015,3,1,3,14,4,4,4,138.6,4,1,2,12,1,3,4,3,1,12345.81,45,42000000
916,HS2405000027,HH12240016,3,1,3,3,4,4,4,138.6,4,1,2,8,1,3,4,3,3,14687.23,55,42000000
917,HS2405000028,HH12240017,3,1,3,4,4,4,4,138.6,4,1,2,14,1,3,4,2,1,28332.4,35,54000000
918,HS2405000029,HH12240018,3,1,3,8,4,4,4,138.6,4,1,2,12,1,3,4,5,1,21491.68,45,54000000
919,HS2405000030,HH12240019,3,1,3,9,4,4,4,138.6,4,1,2,8,1,1,4,3,1,16074.0,45,54000000
920,HS2501000001,HH15250009,2,1,1,1,4,1,3,92.39999999999999,3,1,1,1,2,1,3,4,1,11918.03,55,25000000
921,HS2501000002,HH15250010,2,1,2,1,4,2,3,66.0,2,1,1,1,2,1,3,3,1,14766.19,45,42000000
922,HS2501000003,HH15250011,2,1,2,1,4,1,3,92.39999999999999,3,1,1,1,2,1,3,3,4,10732.1,45,25000000
923,HS2501000004,HH14250001,2,1,2,1,5,1,3,62.699999999999996,3,1,1,6,1,3,4,2,1,12868.76,55,42000000
924,HS2501000005,HH15250012,2,1,3,9,4,2,5,112.19999999999999,3,1,2,12,1,3,4,5,1,10426.791406,45,54000000
925,HS2501000006,HH13250005,2,1,3,19,4,2,5,112.19999999999999,3,1,2,14,1,3,4,3,1,10369.796581,55,66000000
926,HS2501000007,HH13250006,2,1,3,28,4,2,5,141.9,4,1,2,17,1,3,4,2,1,5691.611227,55,96000000
927,HS2501000008,HH13250007,2,1,1,1,6,3,1,23.099999999999998,1,1,1,5,1,1,4,2,5,16345.80446,45,12000000
928,HS2501000009,HH11250010,2,1,1,2,5,3,1,85.8,4,1,2,8,2,3,3,2,1,10878.26,45,54000000
929,HS2501000010,HH15250013,2,1,2,3,3,2,2,89.1,3,1,1,5,1,3,4,5,3,20923.42,45,25000000
930,HS2501000011,HH13250008,2,1,3,8,3,1,4,138.6,4,1,2,16,1,3,4,5,1,11277.650787,55,90000000
931,HS2502000001,HH14250003,2,1,1,1,6,3,1,72.6,3,1,1,6,2,3,3,4,3,16902.18,55,54000000
932,HS2502000002,HH12250011,2,1,1,2,3,1,2,105.6,3,1,1,5,2,3,3,5,1,16239.34,45,54000000
933,HS2502000003,HH11250022,2,1,2,2,5,1,3,62.699999999999996,2,1,1,8,1,3,4,2,5,9817.2730959,67,12000000
934,HS2502000004,HH12250012,2,1,1,1,5,4,3,79.19999999999999,2,1,1,6,4,3,3,4,1,74378.3,45,66000000
935,HS2502000005,HH11250023,2,1,2,1,5,2,2,62.699999999999996,2,1,1,5,2,1,3,2,1,6218.18,45,25000000
