,id_hs,id_hh,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,cat_hus_blt_yr,num_hus_ar,num_bed,num_liv,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_age,cat_mhh_occu,cat_hh_ann_incm,num_tot_energy_heat
2091,HS3701100012,HH11370083,2,2,1,1,4,2,3,82.5,3,1,2,10,1,3,4,2,2,1,3,7013.22
2092,HS3701100013,HH12370037,2,2,1,1,5,2,3,82.5,3,1,2,8,1,1,4,2,2,1,1,6484.023035
2093,HS3701100014,HH11370084,2,2,2,1,5,1,4,49.5,2,1,1,3,1,3,4,2,3,1,3,15557.87
2094,HS3701100015,HH12370038,2,2,2,3,2,1,4,36.3,1,1,1,4,1,3,4,3,2,1,3,7868.8
2095,HS3701100016,HH14370025,2,2,2,2,3,2,2,59.4,2,1,1,10,1,3,4,2,3,5,3,8802.58
2096,HS3701100017,HH11370085,2,2,2,2,4,1,4,46.199999999999996,2,1,1,3,1,3,4,2,3,5,1,7551.207049
2097,HS3701100018,HH13370025,2,2,2,3,2,2,2,66.0,3,1,1,12,1,3,4,3,2,1,4,6350.346899
2098,HS3701100019,HH11370086,2,2,2,3,4,1,4,46.199999999999996,2,1,1,6,1,3,4,4,2,2,3,12390.94
2099,HS3701100020,HH11370087,2,2,2,2,3,1,4,72.6,3,1,2,10,1,1,4,2,3,5,1,5203.293636
2100,HS3701200001,HH11370088,2,2,2,1,5,1,3,69.3,3,1,1,8,2,3,3,4,2,5,2,11630.84
2101,HS3701200002,HH13370026,2,2,1,1,6,2,1,19.799999999999997,1,0,1,2,2,1,3,2,2,5,1,8092.39
2102,HS3701200003,HH12370039,2,2,1,1,5,3,2,69.3,3,1,1,8,2,1,3,1,3,5,1,7455.63
2103,HS3701200004,HH12370040,2,2,1,1,6,1,1,82.5,3,1,1,8,1,1,3,1,3,5,1,2554.65
2105,HS3701200006,HH11370089,2,2,2,1,5,1,3,46.199999999999996,2,1,1,5,1,3,3,4,2,5,3,7997.67
2106,HS3701200007,HH12370042,2,2,1,1,5,3,3,75.89999999999999,3,1,1,6,1,3,4,2,2,5,4,8458.3159835
2107,HS3701200008,HH12370043,2,2,1,1,5,3,4,72.6,2,1,1,6,4,3,3,2,3,3,3,22210.77455
2108,HS3701200009,HH12370044,2,2,1,1,5,3,4,85.8,3,1,1,8,2,3,3,3,3,1,5,10601.999491
2109,HS3701200010,HH12370045,2,2,1,1,5,3,4,79.19999999999999,2,1,1,10,2,3,3,2,3,1,3,10822.09
2110,HS3701200011,HH12370046,2,2,1,1,5,3,4,75.89999999999999,3,1,1,6,5,3,3,2,3,1,2,13619.06
2111,HS3701200012,HH12370047,2,2,1,1,5,3,4,82.5,2,1,1,8,1,3,4,1,3,3,4,23670.05
2112,HS3701200013,HH12370048,2,2,1,1,5,1,4,85.8,3,1,1,8,1,3,4,5,2,1,5,22518.016084
2113,HS3701200014,HH12370049,2,2,3,2,3,4,4,99.0,3,1,1,8,1,1,4,4,2,1,3,6242.5432
2114,HS3702000001,HH14370002,2,2,1,1,5,1,6,95.69999999999999,3,1,2,4,2,3,3,1,3,3,3,9151.3254042
2115,HS3702000002,HH12370006,2,2,3,11,4,1,4,85.8,3,1,1,8,1,3,4,3,2,1,3,10578.71
2116,HS3702000003,HH12370007,2,2,3,11,2,1,4,85.8,3,1,1,8,1,3,4,2,2,1,6,13189.2
2117,HS3702000004,HH12370008,2,2,3,12,4,1,4,85.8,3,1,1,8,1,3,4,4,2,3,7,14472.07
2118,HS3702000005,HH13370003,2,2,3,12,2,1,4,85.8,3,1,1,14,1,3,4,4,2,3,4,5856.91
2119,HS3702000006,HH13370004,2,2,3,14,4,1,4,85.8,3,1,1,8,1,3,4,5,2,1,6,14893.44
2120,HS3702000007,HH11370003,2,2,3,2,3,1,4,85.8,3,1,1,8,1,3,4,2,3,5,2,7824.04
2121,HS3702000008,HH13370005,2,2,3,2,2,1,4,85.8,3,1,1,8,1,3,4,3,2,3,7,8763.5
2122,HS3702000009,HH14370003,2,2,3,4,2,2,4,72.6,3,1,1,4,1,3,4,3,2,1,5,13254.07
2123,HS3702000010,HH13370006,2,2,3,5,2,1,4,85.8,3,1,1,14,1,3,4,4,2,1,5,13225.78
2124,HS3702000011,HH12370009,2,2,3,6,4,1,4,42.9,3,1,1,8,1,3,4,3,2,3,7,15174.82
2125,HS3702000012,HH12370010,2,2,3,8,3,1,4,85.8,3,1,1,8,1,3,4,4,2,1,7,15798.38
2126,HS3702000013,HH15370001,2,2,3,8,4,1,4,85.8,3,1,1,8,1,1,4,2,2,1,4,8414.63
2127,HS3702000014,HH14370004,2,2,3,8,4,1,4,99.0,3,1,2,8,1,3,4,4,2,3,6,6965.89
2128,HS3702000015,HH16370001,2,2,3,10,2,2,4,72.6,3,1,1,4,1,1,4,2,2,3,6,9608.3
2129,HS3702000016,HH13370007,2,2,3,12,4,1,6,125.39999999999999,4,1,2,16,1,3,4,4,2,1,7,13271.13
2130,HS3702000017,HH12370011,2,2,1,2,5,3,2,89.1,3,1,1,8,4,3,3,4,2,1,7,7020.03
2131,HS3702000018,HH13370008,2,2,3,16,2,1,4,72.6,3,1,1,14,1,3,4,2,2,1,7,11769.89
2132,HS3703000001,HH11370028,2,2,1,1,6,4,1,75.89999999999999,3,1,2,8,1,1,3,1,3,5,1,4359.42
2133,HS3703000002,HH11370029,2,2,1,1,6,1,1,72.6,4,1,2,8,2,1,3,5,3,5,3,7164.23
2134,HS3703000003,HH11370030,2,2,2,1,6,4,1,72.6,3,1,2,8,5,1,3,1,3,3,1,12146.99
